Feature,Score
MI_dir_L0.01_variance,43.75
H_L0.01_variance,43.75
MI_dir_L0.1_variance,41.43
H_L0.1_variance,41.43
MI_dir_L0.01_mean,30.05
H_L0.01_mean,30.05
MI_dir_L0.1_mean,27.03
H_L0.1_mean,27.03
MI_dir_L1_variance,19.62
H_L1_variance,19.62
MI_dir_L1_mean,15.23
H_L1_mean,15.23
MI_dir_L3_mean,5.89
H_L3_mean,5.89
MI_dir_L3_variance,5.47
H_L3_variance,5.47
MI_dir_L5_mean,3.42
H_L5_mean,3.42
MI_dir_L5_variance,2.49
H_L5_variance,2.49
MI_dir_L0.1_weight,1.96
H_L0.1_weight,1.96
MI_dir_L1_weight,1.63
H_L1_weight,1.63
MI_dir_L3_weight,0.79
H_L3_weight,0.79
MI_dir_L5_weight,0.35
HH_L5_covariance,nan
HH_L5_pcc,nan
HH_L3_covariance,nan
HH_L3_pcc,nan
HH_L1_mean,0.74
HH_L1_magnitude,0.74
HH_L3_mean,0.74
HH_L5_mean,0.74
HH_L1_covariance,nan
HH_L1_pcc,nan
HH_L0.1_mean,0.74
HH_L0.1_magnitude,0.74
HH_L3_magnitude,0.74
HH_L5_magnitude,0.74
MI_dir_L0.01_weight,0.47
H_L0.01_weight,0.47
HH_L0.1_std,0.40
HH_L0.1_weight,0.40
HH_L1_weight,0.39
HH_L3_weight,0.37
HH_L5_weight,0.35
H_L5_weight,0.35
HH_L0.1_radius,0.14
HH_L1_std,0.07
HH_L3_std,0.02
HH_L1_radius,0.02
HH_L5_std,0.02
HH_L3_radius,0.01
HH_L5_radius,0.00
HH_L0.1_covariance,nan
HH_L0.1_pcc,nan
HH_L0.01_mean,0.74
HH_L0.01_covariance,nan
HH_L0.01_pcc,nan
HpHp_L5_magnitude,0.74
HpHp_L5_covariance,nan
HpHp_L5_pcc,nan
HpHp_L3_weight,0.87
HpHp_L5_mean,0.74
HpHp_L3_mean,0.74
HpHp_L3_magnitude,0.74
HH_jit_L0.1_mean,0.41
HH_jit_L3_mean,0.41
HH_jit_L5_mean,0.41
HH_jit_L1_weight,0.39
HH_jit_L5_weight,0.35
HH_jit_L0.01_weight,0.32
HH_jit_L1_variance,0.00
HpHp_L5_radius,0.00
HpHp_L5_std,0.00
HpHp_L3_covariance,nan
HpHp_L3_pcc,nan
HpHp_L1_mean,0.74
HpHp_L1_magnitude,0.74
HpHp_L1_covariance,nan
HpHp_L1_pcc,nan
HpHp_L0.1_weight,1.03
HpHp_L1_weight,0.94
HpHp_L5_weight,0.82
HH_L0.01_magnitude,0.74
HH_jit_L5_variance,0.00
HpHp_L0.1_covariance,nan
HpHp_L0.1_pcc,nan
HpHp_L0.01_weight,0.81
HpHp_L0.01_mean,0.74
HpHp_L0.01_magnitude,0.74
HpHp_L0.1_mean,0.74
HpHp_L0.1_magnitude,0.74
HH_L0.01_std,0.49
HH_jit_L0.01_mean,0.41
HH_jit_L1_mean,0.41
HH_jit_L0.1_weight,0.40
HH_jit_L3_weight,0.37
HH_L0.01_weight,0.32
HH_L0.01_radius,0.21
HH_jit_L0.01_variance,0.00
HH_jit_L0.1_variance,0.00
HH_jit_L3_variance,0.00
HpHp_L0.1_radius,0.00
HpHp_L0.1_std,0.00
HpHp_L0.01_radius,0.00
HpHp_L1_std,0.00
HpHp_L1_radius,0.00
HpHp_L0.01_std,0.00
HpHp_L3_radius,0.00
HpHp_L3_std,0.00
HpHp_L0.01_covariance,nan
HpHp_L0.01_pcc,nan
